574;"Букет из роз ""Гало""";"<p>роза-10шт.</p>
<p>кустовая роза-5шт.</p>
<p>солидаго-4шт.</p>
<p>гиперикум-1шт.</p>
<p>иликс-1шт.</p>
<p>салал-10шт.</p>
<p>упаковка натуральный сизаль</p>";2000
818;"Букет из роз ""Желание""";"<p>роза одноголовая-13шт.</p>
<p>эустома-5шт.</p>
<p>гербера-3шт.</p>
<p>монстера-1шт.</p>
<p>салал-10шт.</p>
<p>упаковка сизаль</p>";3000
398;"Букет из роз ""Иллюзия""";"<p>роза-25шт.</p>
<p>салал-7шт.</p>
<p>упаковка натуральный сизаль</p>";1800
562;"Букет из роз ""Кармен""";"<p>гербера-3шт.</p>
<p>роза одноголовая-17шт.</p>
<p>эустома-10шт.</p>
<p>озантамус-3шт.</p>
<p>фитоспорум-5шт.</p>
<p>аспидистра-5шт.</p>
<p>папоротник-9шт.</p>
<p>упаковка сизаль</p>";5000
454;"Букет из роз ""Классика""";"<p>роза-3шт.</p>
<p>рускус-4шт.</p>
<p>аспидистра-3шт.</p>
<p>берграсс</p>
<p>упаковка</p>";700
463;"Букет из роз ""Классический""";"<p>роза-5шт.</p>
<p>рускус-5шт.</p>
<p>аспидистра-3шт.</p>
<p>упаковка органза</p>";1300
261;"Букет из роз ""Красивая жизнь""";"<p>эустома-5шт.</p>
<p>альтромерия-5шт.</p>
<p>роза кустовая-4шт.</p>
<p>роза одноголовая-25шт.</p>
<p>робилини-5шт.</p>
<p>упаковка сизаль</p>";5500
783;"Букет из роз ""Круиз""";"<p>гербера-3шт.</p>
<p>роза-4шт.</p>
<p>ирис-3шт.</p>
<p>хризантема кустовая-2шт.</p>
<p>альстромерия-3шт.</p>
<p>статица-1шт.</p>
<p>солидаго-3шт.</p>
<p>рускус-5шт.</p>
<p>аспидистра-3шт.</p>
<p>аралия-3шт.</p>
<p>упаковка крафт,сизаль</p>";2400
820;"Букет из роз ""Лалитта""";"<p>роза кустовая-2шт.</p>
<p>роза одноголовая-5шт.</p>
<p>эустома-2шт.</p>
<p>гвоздика-3шт.</p>
<p>хризантема-1шт.</p>
<p>гиперикум-1шт.</p>
<p>лимониум-1шт.</p>
<p>эвкалипт-3шт.</p>
<p>салал-7шт.</p>
<p>упаковка сизаль</p>";1800
925;"Букет из роз ""Летний луч""";"<p>орхидея-3шт.</p>
<p>хризантема кустовая-4шт.</p>
<p>нарцисс-5шт.</p>
<p>альстомерия-5шт.</p>
<p>фрезия-5шт.</p>
<p>гвоздика-5шт.</p>
<p>роза-13шт.</p>
<p>эвкалипт-4шт.</p>
<p>салал-7шт.</p>
<p>упаковка натуральная сизаль</p>";3000
